,,,,,,,,,
Sr. Data Scientist,Polaris Industries,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/2/000/12a/275/0379cc0.jpg,Measurement Mastery: Improve Accuracy through Clustering and Match Pairs,,Peter,Eliason,8,P0806,4:00
Data Scientist,General Mills,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/6/000/279/28e/0dfe5dc.jpg,Data Science in the Cloud: Leveraging Amazon Web Services ,,Brianna,Noland,3,P1838,11:00
"Professor, Director, COE for Big Data",St Thomas,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/4/000/14e/176/1962cec.jpg,Spark and Scala: The Next Generations,,Brad,Rubin,7,Auditorium,3:15
Data Scientist,When I Work,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/1/005/09f/309/3e4b944.jpg,Why Data Science Fails,,Scott,Ernst,5,P1838,1:15
Associate Professor,Augustana University,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAATrAAAAJDU0MWFkNjBiLWFiODItNDA1OC1hNWUzLTAyMTRmNjY3N2ZmOA.jpg,"Ethics of Data Analytics...Beyond Compliance towards ""Metrics of Ethics""",,Ryan ,Sougstad,4,P0806,11:45
Veritas Technologies,,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAAtHAAAAJGFiNTdjN2NiLTljNTEtNDk0Zi1hYjFjLTM3YTJlMmU5NjNlMA.jpg,Transitioning to a Career in Analytics and Big Data,,"Sona Maniyan,",Jyotsna Magani,1,P1808,9:00
Head Founder,Monicat Data,https://media.licdn.com/mpr/mpr/shrinknp_400_400/AAEAAQAAAAAAAAhqAAAAJDQ5NDIzN2M1LWNiYWItNGQ0YS05Njg5LWM3YmQ4MmUxZmIzNw.jpg,Data for Artists and Creative Organizations ,,Jasmine ,Russell,2,P0838,10:00
Software Engineer,Stat-Ease,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/3/000/042/261/282054e.jpg,Brewing the Perfect Pot of Coffee: Design of Experiments with Python,,Hank,Anderson,4,P0838,11:45
CEO,Reliancy,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/3/000/11b/377/2f623b4.jpg,Using Container Orchestration Frameworks To Empower Machine Learning,,Rudy,Agovic,7,P0838,3:15
"VP, Global Emerging Practices",Think Big Analytics,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/1/005/075/3e1/317d599.jpg,Applied AI in the Enterprise,,Atif,Kureishy,6,F1265,2:15
"President & CTO, Product GM",C3 IoT,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/4/000/17d/16a/054acce.jpg,IoT: AI at Enterprise Scale,,"Ed Abbo, ",Adi Bhashyam,1,Auditorium,
Software Developer,Anaconda,https://www.continuum.io/sites/default/files/jim_crist_0.jpg,New Developments in Scaling Python Analytics,,James,Crist,3,Auditorium,11:00
